times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
652.609  000.216  000.216: sourcing /usr/share/nvim/runtime/plugin/matchparen.vim
653.586  000.717  000.717: sourcing /usr/share/nvim/runtime/plugin/netrwPlugin.vim
655.028  000.189  000.189: sourcing /usr/share/nvim/runtime/autoload/remote/define.vim
659.336  005.282  005.093: sourcing /home/okoye/.local/share/nvim/rplugin.vim
659.356  005.562  000.280: sourcing /usr/share/nvim/runtime/plugin/rplugin.vim
659.598  000.026  000.026: sourcing /usr/share/nvim/runtime/plugin/rrhelper.vim
659.947  000.150  000.150: sourcing /usr/share/nvim/runtime/plugin/shada.vim
660.183  000.042  000.042: sourcing /usr/share/nvim/runtime/plugin/spellfile.vim
660.563  000.205  000.205: sourcing /usr/share/nvim/runtime/plugin/tarPlugin.vim
661.008  000.198  000.198: sourcing /usr/share/nvim/runtime/plugin/tohtml.vim
661.275  000.044  000.044: sourcing /usr/share/nvim/runtime/plugin/tutor.vim
661.698  000.256  000.256: sourcing /usr/share/nvim/runtime/plugin/zipPlugin.vim
661.711  016.471: loading plugins
661.837  000.126: loading packages
662.536  000.470  000.470: sourcing /home/okoye/.config/nvim/plugins/indentLine/after/plugin/indentLine.vim
662.805  000.174  000.174: sourcing /home/okoye/.config/nvim/plugins/ultisnips/after/plugin/UltiSnips_after.vim
662.826  000.344: loading after plugins
662.839  000.013: inits 3
666.199  003.360: reading ShaDa
666.796  000.596: clearing screen
673.476  000.066  000.066: sourcing /home/okoye/.lvimrc
732.144  058.435  058.435: sourcing /home/okoye/.lvimrc
738.629  000.701  000.701: sourcing /home/okoye/.config/nvim/plugins/vim-airline/autoload/airline/extensions.vim
739.252  000.108  000.108: sourcing /home/okoye/.config/nvim/plugins/vim-airline/autoload/airline/extensions/quickfix.vim
739.893  000.082  000.082: sourcing /home/okoye/.config/nvim/plugins/vim-airline/autoload/airline/extensions/netrw.vim
740.656  000.175  000.175: sourcing /home/okoye/.config/nvim/plugins/vim-airline/autoload/airline/extensions/hunks.vim
741.380  000.134  000.134: sourcing /home/okoye/.config/nvim/plugins/vim-airline/autoload/airline/extensions/tagbar.vim
742.400  000.435  000.435: sourcing /home/okoye/.config/nvim/plugins/vim-airline/autoload/airline/extensions/branch.vim
743.252  000.216  000.216: sourcing /home/okoye/.config/nvim/plugins/vim-airline/autoload/airline/extensions/whitespace.vim
744.239  000.182  000.182: sourcing /home/okoye/.config/nvim/plugins/vim-airline/autoload/airline/extensions/neomake.vim
745.158  000.097  000.097: sourcing /home/okoye/.config/nvim/plugins/vim-airline/autoload/airline/extensions/po.vim
745.783  000.099  000.099: sourcing /home/okoye/.config/nvim/plugins/vim-airline/autoload/airline/extensions/wordcount.vim
746.574  000.292  000.292: sourcing /home/okoye/.config/nvim/plugins/vim-airline/autoload/airline/extensions/tabline.vim
747.076  000.082  000.082: sourcing /home/okoye/.config/nvim/plugins/vim-airline/autoload/airline/extensions/tabline/autoshow.vim
748.566  000.234  000.234: sourcing /home/okoye/.config/nvim/plugins/vim-airline/autoload/airline/extensions/tabline/tabs.vim
749.523  000.426  000.426: sourcing /home/okoye/.config/nvim/plugins/vim-airline/autoload/airline/extensions/tabline/buffers.vim
751.495  001.437  001.437: sourcing /home/okoye/.config/nvim/plugins/vim-airline/autoload/airline/extensions/tabline/ctrlspace.vim
753.593  000.178  000.178: sourcing /home/okoye/.config/nvim/plugins/vim-airline/autoload/airline/extensions/keymap.vim
760.862  000.187  000.187: sourcing /home/okoye/.config/nvim/plugins/vim-airline/autoload/airline/section.vim
762.011  000.377  000.377: sourcing /home/okoye/.config/nvim/plugins/vim-airline/autoload/airline/highlighter.vim
770.073  000.113  000.113: sourcing /home/okoye/.config/nvim/plugins/vim-airline/autoload/airline/themes.vim
770.627  001.138  001.026: sourcing /home/okoye/.config/nvim/plugins/vim-airline/autoload/airline/themes/dark.vim
792.337  000.296  000.296: sourcing /home/okoye/.config/nvim/plugins/vim-airline/autoload/airline/util.vim
802.115  000.256  000.256: sourcing /home/okoye/.config/nvim/plugins/vim-airline/autoload/airline/builder.vim
803.271  000.174  000.174: sourcing /home/okoye/.config/nvim/plugins/vim-airline/autoload/airline/extensions/default.vim
832.360  000.276  000.276: sourcing /home/okoye/.config/nvim/plugins/gen_tags.vim/autoload/gen_tags.vim
856.662  123.785: opening buffers
860.130  002.509  002.509: sourcing /home/okoye/.config/nvim/plugins/tagbar/autoload/tagbar.vim
860.616  000.085  000.085: sourcing /home/okoye/.config/nvim/plugins/tagbar/autoload/tagbar/debug.vim
873.073  000.578  000.578: sourcing /home/okoye/.config/nvim/plugins/tagbar/autoload/tagbar/types/ctags.vim
873.685  000.059  000.059: sourcing /home/okoye/.config/nvim/plugins/tagbar/autoload/tagbar/prototypes/typeinfo.vim
888.638  000.301  000.301: sourcing /home/okoye/.config/nvim/plugins/vim-signify/autoload/sy.vim
893.899  033.706: BufEnter autocommands
893.910  000.011: editing files in windows
901.823  000.230  000.230: sourcing /home/okoye/.config/nvim/plugins/vim-bookmarks/autoload/bm.vim
902.517  000.098  000.098: sourcing /home/okoye/.config/nvim/plugins/vim-pyenv/autoload/pyenv.vim
903.191  000.027  000.027: sourcing /home/okoye/.config/nvim/plugins/vim-easymotion/autoload/vital.vim
904.342  000.313  000.313: sourcing /home/okoye/.config/nvim/plugins/vim-pyenv/autoload/vital/_vim_pyenv.vim
906.955  003.878  003.539: sourcing /home/okoye/.config/nvim/plugins/vim-pyenv/autoload/pyenv/utils.vim
910.181  000.176  000.176: sourcing /home/okoye/.config/nvim/plugins/vim-pyenv/autoload/vital/_vim_pyenv/Process.vim
917.943  000.426  000.426: sourcing /home/okoye/.config/nvim/plugins/vim-pyenv/autoload/vital/_vim_pyenv/System/Filepath.vim
924.114  021.313  016.833: sourcing /home/okoye/.config/nvim/plugins/vim-pyenv/autoload/pyenv/pyenv.vim
927.480  000.504  000.504: sourcing /usr/share/nvim/runtime/autoload/provider/python.vim
1040.504  115.516  115.012: sourcing /home/okoye/.config/nvim/plugins/vim-pyenv/autoload/pyenv/python.vim
1316.259  001.085  001.085: sourcing /home/okoye/.config/nvim/plugins/vim-scriptease/autoload/scriptease.vim
1319.503  000.633  000.633: sourcing /home/okoye/.config/nvim/plugins/vim-startify/autoload/startify.vim
1320.416  000.382  000.382: sourcing /home/okoye/.config/nvim/plugins/vim-startify/autoload/startify/fortune.vim
1399.005  000.590  000.590: sourcing /home/okoye/.config/nvim/plugins/vim-startify/syntax/startify.vim
1400.259  000.524  000.524: sourcing /home/okoye/.config/nvim/plugins/vim-shell/autoload/xolox/shell.vim
1400.653  000.163  000.163: sourcing /home/okoye/.config/nvim/plugins/vim-misc/autoload/xolox/misc/option.vim
1404.030  000.366  000.366: sourcing /home/okoye/.config/nvim/plugins/TagHighlight/autoload/TagHighlight/ReadTypes.vim
1404.793  000.177  000.177: sourcing /home/okoye/.config/nvim/plugins/TagHighlight/autoload/TagHighlight/Debug.vim
1405.637  000.214  000.214: sourcing /home/okoye/.config/nvim/plugins/TagHighlight/autoload/TagHighlight/Option.vim
1486.363  451.162: VimEnter autocommands
1486.375  000.012: before starting main loop
1489.264  002.675  002.675: sourcing /home/okoye/.config/nvim/plugins/neomake/autoload/neomake.vim
1799.704  000.135  000.135: sourcing /home/okoye/.config/nvim/plugins/vim-airline/autoload/airline/extensions/tabline/buflist.vim
1824.844  335.658: first screen update
1824.855  000.011: --- NVIM STARTED ---
